% Easting(km)	Northing(km)	Porosity (%)
0.51	11.94	14
0.10	8.90	14.7
0.52	4.91	14.5
0.93	5.11	14.4
0.89	3.71	13.8
1.55	0.87	13
2.91	0.79	13.9
2.78	2.15	13.7
2.74	4.41	12
2.29	5.73	12.6
1.70	11.74	14.5
1.91	12.19	14.5
2.69	12.77	14.5
3.59	14.08	14
4.04	14.54	14.2
5.49	10.91	14.5
4.67	9.80	16.3
3.97	8.57	16
3.48	7.54	14.5
3.72	6.88	14
3.69	5.07	13
4.47	2.31	13.5
3.61	0.59	14
5.05	1.94	15
6.37	2.31	15.5
6.57	0.95	16
6.25	0.07	16
7.35	1.24	15
7.19	1.98	15.5
5.20	8.57	15
4.87	9.14	16
7.46	12.85	15.5
7.10	8.98	15
7.43	8.86	15
7.31	6.96	14
9.17	1.20	14
7.92	6.72	14.5
8.13	8.69	14
8.50	10.09	14
8.29	10.83	14
8.49	11.41	13.5
9.89	12.89	13.3
9.89	13.71	14
9.15	13.71	14.5
10.01	15.60	15
11.12	15.32	16
13.39	15.73	14
11.99	12.89	14
12.94	12.85	13.5
9.44	9.14	14.2
9.53	7.00	14
8.87	6.26	16
9.65	5.81	16
10.77	4.16	15.3
10.72	5.07	15
10.97	5.73	15.5
11.30	7.09	15
11.55	4.90	14
12.20	8.24	14.5
12.50	3.05	15
13.16	1.36	15
13.81	3.67	16
15.05	2.76	14.5
15.30	3.13	14.5
16.25	0.99	15
18.63	1.49	14
19.04	1.73	14
17.97	3.09	13.5
16.90	4.99	15
17.10	6.10	16
18.09	7.08	14.8
19.28	7.08	14.2
19.49	9.76	14
16.76	15.77	16
18.33	13.50	16
17.55	11.12	16
16.97	13.09	17
16.31	12.56	16
14.71	11.94	16
14.54	13.34	14.5
12.90	10.38	15
14.09	10.13	15.7
15.29	9.35	16.5
14.92	8.32	16
